"Organisation Name","Town/City","County","Type & Rating","Route"
"@ Home Accommodation Services Ltd","London",,"Worker (A rating)","Skilled Worker"
"@ Home Accommodation Services Ltd","London",,"Temporary Worker (A rating)","Creative Worker"
"0086 Ltd","London",,"Worker (A rating)","Skilled Worker"
"00Nation Limited","London","London","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"00Nation Limited","London","London","Worker (A rating)","Skilled Worker"
"01 ACCOUNTING SERVICES LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"012 Global Ltd","London",,"Worker (A rating)","Skilled Worker"
"0xA Technologies Ltd","London",,"Worker (A rating)","Skilled Worker"
"1 ACE TRAINING LIMITED","London",,"Worker (A rating)","Skilled Worker"
"1 ALS LIMITED","London",,"Worker (A rating)","Skilled Worker"
"1 Bishops Avenue Limited","London",,"Worker (A rating)","Skilled Worker"
"1 Kings Dental Limited","London",,"Worker (A rating)","Skilled Worker"
"1 Life London Limited","Streatham",,"Worker (A rating)","Skilled Worker"
"1 MODEL MANAGEMENT LONDON LIMITED","London",,"Temporary Worker (A rating)","Creative Worker"
"100 SHAPES LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"1000heads Ltd","London",,"Worker (A rating)","Skilled Worker"
"100Starlings Ltd","London",,"Worker (A rating)","Skilled Worker"
"101 Harley Street LTD","London",,"Worker (A rating)","Skilled Worker"
"101 Ways Limited","London",,"Worker (A rating)","Skilled Worker"
"107 Cannon Street Limited","London",,"Worker (A rating)","Skilled Worker"
"108 Media Ltd","Richmond","London","Worker (A rating)","Skilled Worker"
"10BE5 LTD.","London",,"Worker (A rating)","Skilled Worker"
"10BIT FX LIMITED","London",,"Worker (A rating)","Skilled Worker"
"10BIT FX LIMITED","London",,"Temporary Worker (A rating)","Creative Worker"
"10Pearls Ltd","London",,"Worker (A rating)","Skilled Worker"
"10X Banking Technology Services Ltd","London",,"Worker (A rating)","Skilled Worker"
"11 BERKELEY STREET LIMITED","London",,"Worker (A rating)","Skilled Worker"
"11:FS GROUP LIMITED","London",,"Worker (A rating)","Skilled Worker"
"111 Skin Limited","London","Fritzovia","Worker (A rating)","Skilled Worker"
"114 GPS Ltd  T/A Sushi Atelier","LONDON",,"Worker (A rating)","Skilled Worker"
"11K Consulting Ltd","London",,"Worker (A rating)","Skilled Worker"
"11x Limited","London","n1","Worker (A rating)","Skilled Worker"
"12 MM GROUP LTD","London",,"Worker (A rating)","Skilled Worker"
"12B Solicitors Limited","Greater London",,"Worker (A rating)","Skilled Worker"
"1313 Grays Limited","London","England","Worker (A rating)","Skilled Worker"
"13th Street Hospitality Ltd t/a Sunday in Brooklyn","London",,"Worker (A rating)","Skilled Worker"
"14 PROMOTIONS (TRADE) LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"14 Septembre London Limited","London",,"Worker (A rating)","Skilled Worker"
"1416 DIGITAL LTD","London",,"Worker (A rating)","Skilled Worker"
"1508 London Limited","London",,"Worker (A rating)","Skilled Worker"
"152 Harley Street Limited","London","London","Worker (A rating)","Skilled Worker"
"16HarleyCo Limited","London",,"Worker (A rating)","Skilled Worker"
"17 Capital Services Ltd","London",,"Worker (A rating)","Skilled Worker"
"1783 Limited","London",,"Worker (A rating)","Skilled Worker"
"18 Degrees Below Ltd","London",,"Worker (A rating)","Skilled Worker"
"18.01 London Limited","London",,"Worker (A rating)","Skilled Worker"
"186 London Limited","London",,"Worker (A rating)","Skilled Worker"
"18A Charing Cross Dental Surgery","London",,"Worker (A rating)","Skilled Worker"
"18APR Limited","London",,"Temporary Worker (A rating)","Creative Worker"
"1905 Group Limited T/A 1905","London",,"Worker (A rating)","Skilled Worker"
"1A ORTHODONTICS LIMITED","London",,"Worker (A rating)","Skilled Worker"
"1E Limited","London",,"Worker (A rating)","Skilled Worker"
"1E Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"1OAK CAPITAL LIMITED","London",,"Worker (A rating)","Skilled Worker"
"1ovmany ltd","London",,"Worker (A rating)","Skilled Worker"
"1PS Group Limited","LONDON",,"Worker (A rating)","Skilled Worker"
"1ST ADTUBE LIMITED","London",,"Worker (A rating)","Skilled Worker"
"1ST ASSIST LIMITED","London",,"Worker (A rating)","Skilled Worker"
"1st Choice 24/7 Recruitment Ltd","East Ham","London","Worker (A rating)","Skilled Worker"
"1ST CHOICE CABS LTD","London",,"Worker (A rating)","Skilled Worker"
"1st Class Protection Ltd","London",,"Worker (A rating)","Skilled Worker"
"1st Step Childcare Ltd","Poplar","London","Worker (A rating)","Skilled Worker"
"1ST VISA INTERNATIONAL LIMITED","London",,"Worker (A rating)","Skilled Worker"
"1stopbabystore ltd","London",,"Worker (A rating)","Skilled Worker"
"1SW EVENTS LONDON LTD","ALFREDS  WAY",,"Worker (A rating)","Skilled Worker"
"2 Chai Ltd","London",,"Worker (A rating)","Skilled Worker"
"2 EXCEL ENGINEERING LIMITED","London",,"Worker (A rating)","Skilled Worker"
"2 Picardy Road Ltd","London",,"Worker (A rating)","Skilled Worker"
"201 ASIAN KITCHEN","London",,"Worker (A rating)","Skilled Worker"
"20-20 Events Management Limited","London",,"Worker (A rating)","Skilled Worker"
"2023 RE INVESTMENT MANAGEMENT LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"2023 RE INVESTMENT MANAGEMENT LIMITED","LONDON",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"21 Soho Square Ltd","London",,"Worker (A rating)","Skilled Worker"
"21 Soho Square Ltd","London",,"Temporary Worker (A rating)","Creative Worker"
"21ST AMENDMENT LTD","London",,"Worker (A rating)","Skilled Worker"
